table_name,column_name,null_count,null_rate
products,product_id,0,0.0
products,product_name,0,0.0
products,category,0,0.0
products,unit_cost,0,0.0
products,unit_price,0,0.0
products,shelf_life_days,0,0.0
products,supplier_id,0,0.0
products,lead_time_days,0,0.0
products,target_service_level,0,0.0
suppliers,supplier_id,0,0.0
suppliers,supplier_name,0,0.0
suppliers,supplier_region,0,0.0
suppliers,reliability_score,0,0.0
suppliers,average_lead_time_days,0,0.0
suppliers,lead_time_variability,0,0.0
suppliers,minimum_order_qty,0,0.0
warehouses,warehouse_id,0,0.0
warehouses,warehouse_name,0,0.0
warehouses,region,0,0.0
warehouses,storage_capacity_units,0,0.0
inventory_snapshots,snapshot_date,0,0.0
inventory_snapshots,warehouse_id,0,0.0
inventory_snapshots,product_id,0,0.0
inventory_snapshots,on_hand_units,0,0.0
inventory_snapshots,on_order_units,0,0.0
inventory_snapshots,reserved_units,0,0.0
inventory_snapshots,available_units,0,0.0
inventory_snapshots,inventory_value,0,0.0
inventory_snapshots,days_of_supply,0,0.0
demand_history,date,0,0.0
demand_history,warehouse_id,0,0.0
demand_history,product_id,0,0.0
demand_history,region,0,0.0
demand_history,units_demanded,0,0.0
demand_history,units_fulfilled,0,0.0
demand_history,units_lost_sales,0,0.0
demand_history,stockout_flag,0,0.0
demand_history,promo_flag,0,0.0
demand_history,seasonality_index,0,0.0
purchase_orders,po_id,0,0.0
purchase_orders,supplier_id,0,0.0
purchase_orders,product_id,0,0.0
purchase_orders,warehouse_id,0,0.0
purchase_orders,order_date,0,0.0
purchase_orders,expected_arrival_date,0,0.0
purchase_orders,actual_arrival_date,0,0.0
purchase_orders,ordered_units,0,0.0
purchase_orders,received_units,0,0.0
purchase_orders,late_delivery_flag,0,0.0
product_classification,product_id,0,0.0
product_classification,abc_class,0,0.0
product_classification,criticality_level,0,0.0
